Record{size=15288, name=' build/obj/tunerstudio.o@ .bss.configWorkingCopy'}
Record{size=9216, name=' build/obj/engine_controller.o@_engine'}
Record{size=6500, name=' build/obj/loggingcentral.o@ .bss._ZL15pendingBuffers1'}
Record{size=6500, name=' build/obj/console_io.o@buffer'}
Record{size=5000, name=' build/obj/sensor_chart.o@ .bss._ZL14LOGGING_BUFFER'}
Record{size=3616, name=' build/obj/trigger_central.o@ .bss._ZL15triggerCallback'}
Record{size=3616, name=' build/obj/main_trigger_callback.o@ .bss._ZL13mainLoopHisto'}
Record{size=3136, name=' build/obj/cli_registry.o@ .bss._ZL14consoleActions'}
Record{size=2216, name=' build/obj/rusefi.o@ .bss.activeConfiguration'}
Record{size=2052, name=' build/obj/wave_analyzer_hw.o@ .bss._ZL14registeredIcus'}
Record{size=2048, name=' build/obj/fsio_impl.o@ .bss._ZL12userElements'}
Record{size=2048, name=' build/obj/fsio_impl.o@ .bss._ZL11sysElements'}
Record{size=1544, name=' build/obj/tunerstudio.o@ .bss._ZL13tsThreadStack'}
Record{size=1472, name=' build/obj/usb_lld.o@USBD1'}
Record{size=1400, name=' build/obj/status_loop.o@ .bss._ZL14LOGGING_BUFFER'}
Record{size=1368, name=' build/obj/chsys.o@ .bss._idle_thread_wa'}
Record{size=1144, name=' build/obj/console_io.o@ .bss._ZL18consoleThreadStack'}
Record{size=1032, name=' build/obj/chdebug.o@ .bss.dbg_trace_buffer'}
Record{size=1008, name=' build/obj/trigger_emulator_algo.o@ .bss._ZL8swtchTms'}
Record{size=1000, name=' build/obj/settings.o@ .bss._ZL14LOGGING_BUFFER'}
Record{size=784, name=' build/obj/idle_thread.o@ .bss._ZL8iacMotor'}
Record{size=744, name=' build/obj/wave_analyzer.o@ .bss._ZL13waThreadStack'}
Record{size=744, name=' build/obj/status_loop.o@ .bss._ZL14lcdThreadStack'}
Record{size=744, name=' build/obj/neo6m.o@ .bss._ZL14gpsThreadStack'}
Record{size=744, name=' build/obj/mmc_card.o@ .bss._ZL14mmcThreadStack'}
Record{size=744, name=' build/obj/microsecond_timer.o@ .bss._ZL13mwThreadStack'}
Record{size=744, name=' build/obj/malfunction_indicator.o@ .bss._ZL14mfiThreadStack'}
Record{size=744, name=' build/obj/injector_central.o@ .bss._ZL16benchThreadStack'}
