ref,value,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
C1001,0.1uF 50V,blah,blah,blah,blah,sky-macau,6175330450,,,,,
C1002,1uF 16V,blah,blah,blah,blah,sky-macau.com,5761275017,,,,,
D1001,ZENERSMALL,diodesinc,BZT52C7V5-7-F,DIGI,BZT52C7V5-FDICT-ND,sky-macau.com,5633100308,,,,,
D1002,TVS,fairchild,BZX79C20,DIGI,BZX79C20-ND,sky-macau.com,8262743708,,,,,
D1003,TVS,fairchild,BZX79C20,DIGI,BZX79C20-ND,sky-macau.com,8262743708,,,,,
D1005,LED-grn,lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,sky-macau,1562597916,,,,,
F1001,3.5A,0R,jumperwire,0R,jumperwire,,,,,,
P901,CONN_1,dnp,dnp,dnp,dnp,,,,,,
P902,CONN_1,dnp,dnp,dnp,dnp,,,,,,
P1002,CONN_1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
Q1001,MOS_PRO,vishay,SI2323DS-T1-E3,DIGI,SI2323DS-T1-E3CT-ND,sky-macau.com,4824167646,,,,,
R1001,1k,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,sky-macau,7768409796,,,,,
R1002,1k,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,sky-macau,7768409796,,,,,
R?,240R,,,,,sky-macau,5622933558,,,,,
RV1001,1k, ,, ,,sky-macau,2633110656,,,,,
U1001,LM317M,blah,LM317M,blah,blah,sky-macau,9372473499,,,,,
