Reference, Value, Footprint, Datasheet, MFG,MFG#, VEND1,VEND1#, VEND2,VEND2#
"D17","STPS2H100UY","Diodes_SMD:D_SMB","","ST,STPS2H100UY","DIGI,497-11093-1-ND",","
"C60","330pF","rusEFI_LIB:C_0805","","Kemet,C0805C331J1GACTU","DIGI,399-1131-1-ND",","
"Q6","BUK9230-100B","TO_SOT_Packages_SMD:TO-252-2Lead","","Nexperia,BUK9230-100B","DIGI,1727-4708-1-ND",","
"Q5","BUK9230-100B","TO_SOT_Packages_SMD:TO-252-2Lead","","Nexperia,BUK9230-100B","DIGI,1727-4708-1-ND",","
"C38","1000pF","rusEFI_LIB:C_0805","","avx,08051C102KAT2A","DIGI,478-1352-1-ND",","
"C37","1000pF","rusEFI_LIB:C_0805","","avx,08051C102KAT2A","DIGI,478-1352-1-ND",","
"R16","10R","rusEFI_LIB:R_0805","","Stackpole,RMCF0805JG10R0","DIGI,RMCF0805JG10R0CT-ND",","
"R15","10R","rusEFI_LIB:R_0805","","Stackpole,RMCF0805JG10R0","DIGI,RMCF0805JG10R0CT-ND",","
"C45","4700pF","rusEFI_LIB:C_0805","","TDK,C2012C0G2A472J125AA","DIGI,445-2324-1-ND",","
"C49","4700pF","rusEFI_LIB:C_0805","","TDK,C2012C0G2A472J125AA","DIGI,445-2324-1-ND",","
"D14","STPS2H100UY","Diodes_SMD:D_SMB","","ST,STPS2H100UY","DIGI,497-11093-1-ND",","
"Q9","BUK9230-100B","TO_SOT_Packages_SMD:TO-252-2Lead","","Nexperia,BUK9230-100B","DIGI,1727-4708-1-ND",","
"R19","10R","rusEFI_LIB:R_0805","","Stackpole,RMCF0805JG10R0","DIGI,RMCF0805JG10R0CT-ND",","
"C57","1000pF","rusEFI_LIB:C_0805","","avx,08051C102KAT2A","DIGI,478-1352-1-ND",","
"C46","4700pF","rusEFI_LIB:C_0805","","TDK,C2012C0G2A472J125AA","DIGI,445-2324-1-ND",","
"C50","4700pF","rusEFI_LIB:C_0805","","TDK,C2012C0G2A472J125AA","DIGI,445-2324-1-ND",","
"D15","STPS2H100UY","Diodes_SMD:D_SMB","","ST,STPS2H100UY","DIGI,497-11093-1-ND",","
"Q10","BUK9230-100B","TO_SOT_Packages_SMD:TO-252-2Lead","","Nexperia,BUK9230-100B","DIGI,1727-4708-1-ND",","
"R20","10R","rusEFI_LIB:R_0805","","Stackpole,RMCF0805JG10R0","DIGI,RMCF0805JG10R0CT-ND",","
"C58","1000pF","rusEFI_LIB:C_0805","","avx,08051C102KAT2A","DIGI,478-1352-1-ND",","
