Designator,Val,Mid X,Mid Y,Rotation,Layer
C1,100nF,-61.595000,106.680000,270.000000,top
C2,10nF,-64.135000,106.680000,270.000000,top
C3,100nF,-66.675000,106.680000,270.000000,top
C4,10nF,-69.215000,106.680000,270.000000,top
C5,100nF,-27.305000,74.549000,180.000000,top
C6,10nF,-27.305000,72.390000,180.000000,top
C7,100nF,-27.305000,70.231000,180.000000,top
C8,0.1uF,-7.366000,48.641000,0.000000,top
C9,1uF,-7.366000,50.673000,0.000000,top
C10,0.1uF,-5.588000,45.339000,270.000000,top
C11,0.1uF,-7.366000,53.721000,0.000000,top
C12,4.7uF,-26.416000,63.881000,90.000000,top
C13,0.1uF,-24.257000,63.897000,90.000000,top
C16,220nF,-62.484000,71.247000,0.000000,top
C17,220nF,-54.864000,52.451000,270.000000,top
C18,10nF,-27.305000,68.072000,180.000000,top
C19,1000pF,-40.894000,54.737000,270.000000,top
C23,330pF,-30.353000,69.596000,270.000000,top
C24,330pF,-23.368000,69.596000,270.000000,top
C25,0.22uF,-71.755000,106.680000,270.000000,top
C26,470pF,-33.020000,64.770000,270.000000,top
C27,0.22uF,-45.212000,103.886000,270.000000,top
C28,330pF,-10.541000,63.770000,90.000000,top
C35,1000pF,-46.990000,95.631000,90.000000,top
C36,1000pF,-34.163000,87.376000,90.000000,top
C37,1000pF,-47.561500,118.427500,90.000000,top
C38,1000pF,-34.163000,109.601000,90.000000,top
C39,0.33uF,-26.543000,50.292000,270.000000,top
C40,0.33uF,-29.718000,51.816000,270.000000,top
C41,0.33uF,-29.718000,55.626000,270.000000,top
C42,0.33uF,-27.051000,56.642000,270.000000,top
C43,4700pF,-34.163000,82.423000,270.000000,top
C44,4700pF,-29.083000,101.346000,180.000000,top
C45,4700pF,-32.893000,101.346000,0.000000,top
C46,4700pF,-35.052000,123.190000,180.000000,top
C47,4700pF,-20.574000,98.679000,0.000000,top
C48,4700pF,-20.447000,80.518000,0.000000,top
C49,4700pF,-20.574000,102.870000,0.000000,top
C50,4700pF,-20.574000,121.285000,0.000000,top
C55,1000pF,-5.461000,94.742000,270.000000,top
C56,1000pF,-5.334000,84.836000,270.000000,top
C57,1000pF,-4.826000,107.680000,270.000000,top
C58,1000pF,-5.080000,118.491000,270.000000,top
C59,330pF,-1.651000,59.436000,90.000000,top
C60,330pF,-3.683000,59.436000,90.000000,top
C63,1000pF,-34.163000,129.921000,90.000000,top
C64,0.33uF,-26.543000,60.274200,90.000000,top
C65,4700pF,-35.052000,125.222000,180.000000,top
C67,4700pF,-20.574000,123.317000,0.000000,top
C71,1000pF,-4.445000,129.540000,270.000000,top
C73,330pF,-5.715000,59.436000,90.000000,top
D1,LED_Small,-8.255000,28.575000,90.000000,top
D2,LED_Small,-10.795000,28.575000,90.000000,top
D3,LED_Small,-13.335000,28.575000,90.000000,top
D4,LED_Small,-15.875000,28.575000,90.000000,top
D5,LED_Small,-18.415000,28.575000,90.000000,top
D6,LED_Small,-20.955000,28.575000,90.000000,top
D7,LED_Small,-23.495000,28.575000,90.000000,top
D8,LED_Small,-26.035000,28.575000,90.000000,top
D9,FFD10UP20S,-41.265000,72.136000,0.000000,top
D10,SBR10200CTL,-40.393000,95.631000,180.000000,top
D11,SBR10200CTL,-40.393000,118.491000,180.000000,top
D12,STPS2H100UY,-20.320000,93.726000,90.000000,top
D13,STPS2H100UY,-20.320000,85.471000,270.000000,top
D14,STPS2H100UY,-20.320000,107.696000,270.000000,top
D15,STPS2H100UY,-20.320000,116.586000,90.000000,top
D16,STPS2H100UY,-28.448000,133.731000,0.000000,top
D17,STPS2H100UY,-20.193000,128.016000,270.000000,top
D18,LED_Small,-5.715000,28.575000,90.000000,top
D19,LED_Small,-51.435000,28.575000,90.000000,top
D20,LED_Small,-46.355000,28.575000,90.000000,top
D21,LED_Small,-41.275000,28.575000,90.000000,top
D22,LED_Small,-36.195000,28.575000,90.000000,top
D23,LED_Small,-33.655000,28.575000,90.000000,top
D24,LED_Small,-31.115000,28.575000,90.000000,top
D25,LED_Small,-48.895000,28.575000,90.000000,top
D26,LED_Small,-43.815000,28.575000,90.000000,top
D27,LED_Small,-38.735000,28.575000,90.000000,top
D28,LED_Small,-56.515000,133.985000,0.000000,top
D29,LED_Small,-28.575000,28.575000,90.000000,top
D30,5.7V,-68.072000,132.080000,270.000000,top
D31,LED_Small,-62.992000,120.904000,90.000000,top
D32,LED_Small,-51.435000,49.530000,0.000000,top
D33,LED_Small,-51.435000,46.355000,0.000000,top
D34,STTH802G-TR,-53.105000,76.750000,90.000000,top
D35,5.7V,-72.644000,118.364000,0.000000,top
D36,5.7V,-72.644000,120.904000,180.000000,top
D37,5.7V,-72.644000,123.444000,0.000000,top
D38,5.7V,-72.644000,125.984000,180.000000,top
D39,5.7V,-72.644000,128.524000,0.000000,top
D40,5.7V,-72.644000,131.064000,180.000000,top
D41,5.7V,-72.644000,133.604000,0.000000,top
L2,10uH,-84.455000,38.735000,270.000000,top
Q2,BUK9230-100B,-41.028000,64.516000,180.000000,top
Q3,BUK9230-100B,-53.728000,95.631000,180.000000,top
Q4,BUK9230-100B,-41.282000,87.376000,180.000000,top
Q5,BUK9230-100B,-54.680500,118.427500,180.000000,top
Q6,BUK9230-100B,-41.155000,109.601000,180.000000,top
Q7,BUK9230-100B,-12.453000,95.631000,180.000000,top
Q8,BUK9230-100B,-12.453000,86.741000,180.000000,top
Q9,BUK9230-100B,-12.453000,109.601000,180.000000,top
Q10,BUK9230-100B,-12.453000,118.491000,180.000000,top
Q11,BUK9230-100B,-41.409000,129.921000,180.000000,top
Q12,BUK9230-100B,-11.945000,129.921000,180.000000,top
R1,1k,-8.255000,32.385000,90.000000,top
R2,1k,-10.795000,32.385000,90.000000,top
R3,1k,-13.335000,32.385000,90.000000,top
R4,1k,-15.875000,32.385000,90.000000,top
R5,1k,-18.415000,32.385000,90.000000,top
R6,1k,-20.955000,32.385000,90.000000,top
R7,1k,-23.495000,32.385000,90.000000,top
R8,1k,-26.035000,32.385000,90.000000,top
R9,5.1R,-30.353000,73.406000,270.000000,top
R10,5.1R,-23.368000,73.406000,270.000000,top
R11,10R,-32.893000,61.849000,0.000000,top
R12,0R010,-14.478000,72.136000,90.000000,top
R13,10R,-48.006000,90.424000,270.000000,top
R14,10R,-36.703000,81.026000,270.000000,top
R15,10R,-47.752000,114.173000,270.000000,top
R16,10R,-36.703000,103.886000,270.000000,top
R17,10R,-10.414000,79.121000,270.000000,top
R18,10R,-10.414000,82.169000,180.000000,top
R19,10R,-10.033000,104.648000,180.000000,top
R20,10R,-10.033000,101.727000,270.000000,top
R21,0R010,-2.032000,90.043000,270.000000,top
R22,0R010,-2.159000,112.014000,270.000000,top
R23,10R,-38.036500,124.714000,270.000000,top
R24,10R,-9.398000,124.206000,270.000000,top
R25,1k,-5.715000,32.385000,90.000000,top
R26,0R010,-1.905000,129.921000,270.000000,top
R27,1k,-51.435000,32.385000,90.000000,top
R28,1k,-46.355000,32.385000,90.000000,top
R29,1k,-41.275000,32.385000,90.000000,top
R30,1k,-36.195000,32.385000,90.000000,top
R31,1k,-33.655000,32.385000,90.000000,top
R32,1k,-31.115000,32.385000,90.000000,top
R33,1k,-48.895000,32.385000,90.000000,top
R34,1k,-43.815000,32.385000,90.000000,top
R35,1k,-38.735000,32.385000,90.000000,top
R36,1k,-52.705000,133.985000,0.000000,top
R37,1k,-28.575000,32.385000,90.000000,top
R38,1k,-64.008000,123.952000,180.000000,top
R39,1k,-47.625000,49.530000,0.000000,top
R40,1k,-47.625000,46.355000,0.000000,top
R41,10R,-41.656000,57.658000,0.000000,top
U1,AMS1117-3.3,-62.690000,130.556000,270,top
U4,MC33816,-17.653000,54.356000,90.000000,top
Y1,1MHz,-33.020000,45.339000,0.000000,top
Y2,1MHz,-36.195000,55.372000,270,top
