Comment,Designator,Footprint,LCSC Part #
0.1uF,C10 C11 C13 C8 ,rusEFI_LIB:C_0805,C49678
4.7uF,C12 ,rusEFI_LIB:C_0805,C1779
1000pF,C35 C36 C37 C38 C55 C56 C57 C58 C63 C71 ,rusEFI_LIB:C_0805,C209838
0.33uF,C41 ,rusEFI_LIB:C_0805,C1740
4700pF,C43 C44 C45 C46 C47 C48 C49 C50 C65 C67 ,rusEFI_LIB:C_0805,C21217
330pF,C23 C24 C28 C59 C60 C73 ,rusEFI_LIB:C_0805,C51207
1uF,C9 ,rusEFI_LIB:C_0805,C28323
10R,R15 R16 R17 R18 R19 R20 R23 R24 ,rusEFI_LIB:R_0805,C17415
0R015,R21 R22 R26 ,Resistors_SMD:R_1206_HandSoldering,C201281
5.1R,R10 R9 ,rusEFI_LIB:R_0805,C17724
