Reference, Quantity, Value, Footprint, Datasheet, MFG,MFG#, VEND1,VEND1#, VEND2,VEND2#
C10 C11 C13 C8 ,4,0.1uF,rusEFI_LIB:C_0805,,AVX,08055C104MAT2A,DIGI,478-3351-1-ND,,
C12 ,1,4.7uF,rusEFI_LIB:C_0805,,Taiyo Yuden,TMK212AB7475KG-T,DIGI,587-2990-1-ND,,
C14 C15 ,2,1000uF,Capacitors_ThroughHole:CP_Radial_D22.0mm_P10.00mm_SnapIn,,Cornell,SLPX102M100A3P3,DIGI,338-1553-ND,,
C21 C22 ,2,390uF,Capacitors_ThroughHole:CP_Radial_D16.0mm_P7.50mm,,Nichicon,UHE2A391MHD,DIGI,493-1680-ND,,
C16 C17 C25 C27 ,4,0.22uF,rusEFI_LIB:C_0805,,KEMET,C0805C224M1RACTU,DIGI,399-9205-1-ND,,
C26 ,1,470pF,rusEFI_LIB:C_0805,,TDK,CGA4C2C0G2A471J060AA,DIGI,445-6953-1-ND,,
C19 C3 C35 C36 C37 C38 C5 C55 C56 C57 C58 C63 C7 C71 ,14,1000pF,rusEFI_LIB:C_0805,,avx,08051C102KAT2A,DIGI,478-1352-1-ND,,
C1 C2 C39 C40 C41 C42 C64 ,7,0.33uF,rusEFI_LIB:C_0805,,Yageo,CC0805KKX7R8BB334,DIGI,311-3385-1-ND,,
C18 C20 C4 C43 C44 C45 C46 C47 C48 C49 C50 C6 C65 C67 ,14,4700pF,rusEFI_LIB:C_0805,,TDK,C2012C0G2A472J125AA,DIGI,445-2324-1-ND,,
C23 C24 C28 C29 C30 C59 C60 C73 ,8,330pF,rusEFI_LIB:C_0805,,Kemet,C0805C331J1GACTU,DIGI,399-1131-1-ND,,
C9 ,1,1uF,rusEFI_LIB:C_0805,,Yageo,CC0805KKX7R8BB105,DIGI,311-1456-1-ND,,
D10 D10_2 D11 D11_1 D11_2 D2 ,6,SBR10200CTL,TO_SOT_Packages_SMD:TO-252-2Lead,,Diodes,SBR10200CTL-13,DIGI,SBR10200CTL-13DICT-ND,,
D1 D12 D13 D14 D15 D16 D17 D3 ,8,STPS2H100UY,Diodes_SMD:D_SMB,,ST,STPS2H100UY,DIGI,497-11093-1-ND,,
D18 D19 D20 D21 D22 D23 D24 D25 D26 D27 D28 D4 D5 D6 D7 D8 ,16,LED_Small,LEDs:LED_0805,
D9 ,1,FFD10UP20S,TO_SOT_Packages_SMD:TO-252-2Lead,,ONSEMI,FFD10UP20S,DIGI,FFD10UP20SCT-ND,,
J10 J11 J12 J13 J2 J8 J9 ,7,INJ_Term,Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm,,onshore,OSTTG025100B,DIGI,ED2703-ND,,
J15 J16 ,2,Conn_01x01,Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm,
J4 ,1,CONN_02X08,Pin_Headers:Pin_Header_Straight_2x12_Pitch2.54mm,,sullins,SBH11-PBPC-D08-ST-BK,DIGI,S9171-ND,,
J1 J5 ,2,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
J6 ,1,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x02_Pitch1.27mm,
L1 ,1,6uH,rusEFI_LIB:744710610-Inductor,,Würth Elektronik,744710610,DIGI,732-3255-ND,,
L2 ,1,10uH,rusEFI_LIB:IHLP6767GZER100M01,,Vishay,IHLP6767GZER100M01,DIGI,541-1259-1-ND,,
Q1 Q10 Q11 Q12 Q13 Q14 Q15 Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 ,15,BUK9230-100B,TO_SOT_Packages_SMD:TO-252-2Lead,,Nexperia,BUK9230-100B,DIGI,1727-4708-1-ND,,
R12 ,1,0R010,Resistors_SMD:R_1206_HandSoldering,,Ohmite,MCS1632R010FER,DIGI,MCS1632R010FERCT-ND,,
R1 R11 R13 R14 R15 R16 R17 R18 R19 R2 R20 R23 R24 R3 R4 ,15,10R,rusEFI_LIB:R_0805,,Stackpole,RMCF0805JG10R0,DIGI,RMCF0805JG10R0CT-ND,,
R21 R22 R26 R5 R6 ,5,0R015,Resistors_SMD:R_1206_HandSoldering,,Panasonic,ERJ-8CWFR015V,DIGI,P0.015BVCT-ND,,
R25 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37 R38 R39 R7 R8 ,16,1k,rusEFI_LIB:R_0805,, , , , ,,
R10 R9 ,2,5.1R,rusEFI_LIB:R_0805,,Stackpole,RMCF0805JT5R10,DIGI,RMCF0805JT5R10CT-ND,,
TP1 TP101 TP102 TP103 TP104 TP105 TP106 TP2 TP23 TP24 TP3 TP4 ,12,Conn_01x01,Connect:PINTST,
U4 ,1,PT2000,rusEFI_LIB:LQFP-80_12x12mm_Pitch0.5mmThermal,,FreeScale,MC33PT2000 ,DIGI,568-14330-ND,,
Y1 ,1,1MHz,Crystals:Crystal_SMD_SeikoEpson_MC306-4pin_8.0x3.2mm,,epson,SG7050CAN 1.000000M-TJGA3,DIGI,SER3990CT-ND,
