Reference, Quantity, Value, Footprint, Datasheet, MFG,MFG#, VEND1,VEND1#, VEND2,VEND2#, Field6, Field7, Field8, V, tolerance, construct, misc
5V1 5V2 C+1 C+2 C-1 C-2 GND1 GND2 O1 O2 ,10,CONN_01X01,Wire_Pads:SolderWirePad_single_0-8mmDrill,,HIROSE,H2ABT-10103-A4,DIGI,H2ABT-10103-A4-ND,,,,,,,,
C101 C102 ,2,1000pF,SM0805,,AVX,08052C102KAT2A ,DIGI,478-1339-1-ND,,,,,,,,
C103 ,1,10uF,SM0805,,Murata,GRM21BR71A106KE51L,DIGI,490-3905-1-ND,,,,,10V,10%,multi layer ceramic,other,more,stuff
C104 ,1,0.1uF,SM0805,,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,,,
DCO1 DCO2 DPWR1 ,3,LED-red,LED_0805,,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,,,
R102 R103 R104 R106 R107 R108 R109 R110 R111 R112 ,10,5k,SM0805,,STACKPOLE,RNCP0805FTD4K99,DIGI,RNCP0805FTD4K99CT-ND,,,,,,,,
R101 R113 R114 ,3,10k,SM0805,,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,,,
R137 R141 ,2,1K,SM0805,,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,,,
R801 R802 ,2,pdwn,SM0805,,DNP,DNP,DNP,DNP,,,,,,,,
U101 ,1,MAX9926/9927,maxim-10-QSOP16,,maxim,MAX9926UAEE+,DIGI,MAX9926UAEE+-ND,mouser,700-MAX9926UAEE,--,-,other,more,stuff,,,,
W1002 W1003 ,2,JMP,SM0805,,DNP,DNP,DNP,DNP,,,,,,,,
