BATTERY_CR2032,1,"BT1",
18pF,4,"C2 C3 C21 C22",
0.01uF,2,"C5 C8",
20nF,1,"C1",
0.1uF,8,"C9 C10 C11 C12 C13 C14 C18 C20",
1uF,3,"C6 C7 C16",
2u2F,3,"C4 C15 C17",
4.7uF,1,"C19",
BLUE_LED_0805,7,"D1 D2 D3 D4 D7 D8 D11",
PMEG2010EA,4,"D5 D6 D9 D10",
FILTER,1,"FB1",
LOGO,1,"G1",
MINI-USB-5P-3400020P1,1,"J1",
JUMPER,4,"JP1 JP2 JP3 JP4",
JUMPER3,1,"JP5",
CONN_25X2,2,"P1 P2",
CONN_2,1,"P3",
CONN_6,1,"P4",
47R,1,"R10",
100R,1,"R2",
330R,1,"R5",
680R,4,"R6 R7 R8 R9",
1k,3,"R11 R12 R13",
10k,3,"R1 R3 R4",
100k,1,"R14",
SW_PUSH,2,"SW1 SW2",
NUF2101MT1G,1,"U2",
LM2937,1,"U3",
STM32F407VG,1,"U1",TQFP100
CRYSTAL,1,"X1",
CRYSTAL(MC306),1,"X2",
