Reference, Value, Footprint, Datasheet, MFG,MFG#, VEND1,VEND1#, VEND2,VEND2#, vend1,vend1#, Field4, Field5
"P1002","CONN_1","SIL-1","","DO NOT POPULATE,DNP","DO NOT POPULATE,DNP","","","",""
"C1001","330uF 35V","SMDSVP10","","unitedchem,EMVY350ADA331MJA0G","DIGI,565-2479-1-ND","","","",""
"R1002","1k","SM0805","","Panasonic,ERA-6AEB102V","DIGI,P1.0KDACT-ND","","","",""
"D1005","LED-grn","LED-0805","","lite-on,LTST-C171GKT","DIGI,160-1423-1-ND","","","",""
"U1001","LM2596","DPAK5","","linear,2596-5.0","DIGI,LM2596S-5.0/NOPB-ND","sky-macau.com,6841999795","","",""
"Q1001","20V","SOT23","","Vishay,SQ2301ES-T1-GE3","Newark,64T4128","Mouser,78-SQ2301ES-T1_GE3","","",""
"R1001","39k","SM0805","","ECG,ERA6AEB393V","DIGI,P39KDACT-ND","","","",""
"D1001","7.5V","Diodes_SMD:D_SOD-123","","diodesinc,BZT52C7V5-7-F","DIGI,BZT52C7V5-FDICT-ND","sky-macau.com,5633100308","","",""
"F1001","1.5A","BladeFuse-Mini","","0R,jumperwire","0R,jumperwire","","","",""
"D1006","DIODESCH","Diode_DO-41_SOD81_Vertical_AnodeUp","","ONSEMI,MR854G","","sky-macau.com,1438219496","digi,MR854GOS-ND","",""
"C1002","220uF 16V","SM2512","","kemet,T491D227K016AT","DIGI,399-10429-1-ND","sky-macau.com,8702041755","","",""
"C1003","220uF 16V","SM2512","","kemet,T491D227K016AT","DIGI,399-10429-1-ND","sky-macau.com,8702041755","","",""
"P901","CONN_1","SIL-1","","","","","","dnp,dnp","dnp,dnp"
"P902","CONN_1","SIL-1","","","","","","dnp,dnp","dnp,dnp"
"Q1002","200V","m-pad-2.1-TO-263AB","","Microchip,DN2625K4-G","digikey,DN2625K4-GCT-ND","","","",""
"D1002","17V","Diode_DO-41_SOD81_Vertical_AnodeUp","","FAIRCHILD,1N5247B","DIGI,1N5247B-ND"," ","","",""
"R1003","100k","SM0805","","ECG,ERA6AEB104V","DIGI,P100KDACT-ND","","","",""
"D1003","24V","Diode_DO-41_SOD81_Vertical_AnodeUp","","MicroComercial,1N5359B-TP","DIGI,1N5359BTPMSCT-ND","sky-macau.com,0533550982","","",""
"L1003","68uH","INDUCTOR_V","","BOURNS,5800-680-RC","digi,M8288-ND","sky-macau.com,2258345334","","",""
"L1001","68uH","INDUCTOR_V","","BOURNS,5800-680-RC","digi,M8288-ND","sky-macau.com,2258345334","","",""
"L1002","68uH","INDUCTOR_V","","BOURNS,5800-680-RC","digi,M8288-ND","sky-macau.com,2258345334","","",""
"J1","Screw_Terminal_1x02","Connect:AK300-2",""
"J2","Screw_Terminal_1x02","Connect:AK300-2",""
"P1","CONN_1","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","","","","","","dnp,dnp","dnp,dnp"
"D1004","DIODESCH","DPAK2","","VISHAY,VS-50WQ04FN-M3","","","DIGI,VS-50WQ04FN-M3-ND","",""
