DIODESCH,1,D1006,do no populate,DNP,sky-macau.com,1438219496,,,,,,,
38uH,2,L1001 L1002,ref_PULSE,PE-54040-S,sky-macau.com,3817361683,,,,,,,
JUMPER,5,JP1 JP2 JP3 JP4 JP471,JUMPER-WIRE,0R,JUMPER-WIRE,0R,,,,,,,
BATTERY_CR2032,1,BT1,Keystone,103,DIGI,103K-ND,,,,,,,
CONN_2,4,P1104 P1204 P1304 P1404,omega,PCC-SMP-K,DIGI,1471-1067-ND,,,,,,,
LED-org,1,D2,lite-on,LTST-C170KFKT,DIGI,160-1413-1-ND,,,,,,,
LED-grn,8,D1 D7 D8 D11 D351 D701 D702 D1005,lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,,,,,,,
LED-red,15,D3 D414 D415 D417 D419 D421 D423 D425 D427 D429 D431 D433 D435 D801 D802,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,,
LED-blu,1,D4,lite-on,LTST-C170TBKT,DIGI,160-1579-1-ND,,,,,,,
176122-6_2ND,1,P99,TE,176122-6,DIGI,176122-6_2ND,,,,,,,
SN65HVD230,1,U471,TI,SN65HVD230QD,DIGI,296-13123-5-ND,,,,,,,
LMV324IDR,3,U201 U202 U203,TI,LMV324IDR,DIGI,296-9569-1-ND,,,,,,,
220uF 16V,2,C1002 C1003,kemet,T491D227K016AT,DIGI,399-10429-1-ND,sky-macau.com,8702041755,,,,,
.047uF,2,C162 C163,kemet,C0805C473J3GACTU,DIGI,399-8092-6-ND,,,,,,,
1uF,4,C6 C7 C16 C23,TDK,C2012X7S2A105K125AB,DIGI,445-5205-6-ND,,,,,,,
2u2F,3,C4 C15 C17,TDK,CGA4J3X5R1H225K125AB,DIGI,445-7880-1-ND,,,,,,,
4.7uF,4,C19 C354 C358 C472,TDK,CGA4J3X5R1H475K125AB,DIGI,445-7882-6-ND,,,,,,,
47pF,2,C352 C353,AVX,08051A470JAT2A,DIGI,478-1282-1-ND,,,,,,,
1000pF,2,C101 C102,AVX,08052C102KAT2A ,DIGI,478-1339-1-ND,,,,,,,
4700pF,1,C351,AVX,08055C472KAT2A,DIGI,478-1379-2-ND,,,,,,,
0.1uF,27,C9 C10 C11 C12 C13 C14 C18 C20 C24 C104 C211 C251 C291 C355 C471 C601 C602 C603 C701 C702 C165 C356 C357,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,,
100nF,4,C1102 C1202 C1302 C1402,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,,
0.01uF,15,C1 C5 C8 C210 C220 C230 C240 C250 C260 C270 C280 C290 C300 C310 C320,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,,
