ref,value,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
BT1,BATTERY_CR2032,Keystone,103,DIGI,103K-ND,,,,,,
C1,0.01uF,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C2,20pF,MURATA,GRM21A5C2E180JW01D,DIGI,490-5533-1-ND,,,,,,
C3,20pF,MURATA,GRM21A5C2E180JW01D,DIGI,490-5533-1-ND,,,,,,
C4,2u2F,TDK,CGA4J3X5R1H225K125AB,DIGI,445-7880-1-ND,,,,,,
C5,0.01uF,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C6,1uF,TDK,C2012X7S2A105K125AB,DIGI,445-5205-6-ND,,,,,,
C7,1uF,TDK,C2012X7S2A105K125AB,DIGI,445-5205-6-ND,,,,,,
C8,0.01uF,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C9,0.1uF,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C10,0.1uF,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C11,0.1uF,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C12,0.1uF,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C13,0.1uF,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C14,0.1uF,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C15,2u2F,TDK,CGA4J3X5R1H225K125AB,DIGI,445-7880-1-ND,,,,,,
C16,1uF,TDK,C2012X7S2A105K125AB,DIGI,445-5205-6-ND,,,,,,
C17,2u2F,TDK,CGA4J3X5R1H225K125AB,DIGI,445-7880-1-ND,,,,,,
C18,0.1uF,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C19,4.7uF,TDK,CGA4J3X5R1H475K125AB,DIGI,445-7882-6-ND,,,,,,
C20,0.1uF,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C21,12.5pF,AVX,08051A120JAT2A,DIGI,478-5011-6-ND,,,,,,
C22,12.5pF,AVX,08051A120JAT2A,DIGI,478-5011-6-ND,,,,,,
C23,1uF,TDK,C2012X7S2A105K125AB,DIGI,445-5205-6-ND,,,,,,
C24,0.1uF,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C101,1000pF,AVX,08052C102KAT2A ,DIGI,478-1339-1-ND,,,,,,
C102,1000pF,AVX,08052C102KAT2A ,DIGI,478-1339-1-ND,,,,,,
C103,10uF,Murata,GRM21BR71A106KE51L,DIGI,490-3905-1-ND,10V,10%,multi layer ceramic,other,more,stuff,,
