
#analog input board


#hi-side board
msoic-8_TC4427AVOA,TC4427AVOA,TC4427AVOA-ND,1.5A dual driver

SM0805_1k,ERJ-6GEYJ102V,P1.0KACT-ND,some reference

ssop-28_FT232RL,FT232RL,768-1007-1-ND,USB TTL chip
MINI-USB-5P-3400020P1_MINI-USB-5P-3400020P1,usb socket,670-1190-1-ND,mini USB socket
so-14_LMV324IDR,LMV324IDR,497-4943-1-ND,quad op-amp
SO8E_ST_OVP_DRIVER,ST,497-11082-1-ND,12A low-side MOSFET

SM0805_20R,ERJ-6ENF20R0V,P20.0CCT-ND,driver current limiting

maxim-10-QSOP16_MAX9926/9927,MAX9926,MAX9926UAEE+TCT-ND,VR chip


SO8E_SN65HVD230,SN65HVD230,296-11654-1-ND,CAN driver


# ignore list
LOGO_LOGO,ignore,ignore,ignore
LOGO_f_logo,ignore,ignore,ignore
