
SM0805_1uF,VJ0805V105ZXJCW1BC,77-VJ0805V105ZXJCBC,1UF cap
SM0805_1000pF,C0805C102K5RACTU,80-C0805C102K5R,1000PF cap
SM0805_4700pF,C0805C472K5RACTU,80-C0805C472K5R,4700PF cap


SM0805_1uF,C0805C104K5RACTU,80-C0805C104K5R,1uF cap
SM0805_10uF,CC0805ZKY5V6BB106,,10uF cap


# analog input board
so-14_LMV324IDR,LMV324IDR,595-LMV324IDR,quad op-amp

SM0805_1500,ERJ-8GEYJ152V,667-ERJ-8GEYJ152V,voltage divider

SM0805_0.1uF,C1206C104J3GACTU,,op-amp power supply capacitor 0.1uF
SM0805_0.01uF,GRM3195C1H103JA01D,,input RC filter 10000PF/0.01uF



ssop-28_FT232RL,FT232RL,895-FT232RL,USB TTL chip

maxim-10-QSOP16_MAX9926/9927,MAX9926,700-MAX9926UAEE,VR chip


MINI-USB-5P-3400020P1_MINI-USB-5P-3400020P1,usb socket,656-DX2R005HN2E700,mini USB socket

SO8E_SN65HVD230,SN65HVD230,296-11654-1-ND,CAN driver
