Reference, Quantity, Value, Footprint, Datasheet, MFG,MFG#, VEND1,VEND1#, VEND2,VEND2#, Field6, Field4, Field5
C1 ,1,330uF 35V,SMDSVP10,,unitedchem,EMVY350ADA331MJA0G,DIGI,565-2479-1-ND,,,,
C2 C3 ,2,220uF 16V,SM2512,,kemet,T491D227K016AT,DIGI,399-10429-1-ND,sky-macau.com,8702041755,,,
D1 ,1,7.5V,SM1206,,diodesinc,BZT52C7V5-7-F,DIGI,BZT52C7V5-FDICT-ND,sky-macau.com,5633100308,,,
D2 ,1,14V,D3,,FAIRCHILD,1N5244B,DIGI,1N5244B-ND, ,,,
D3 ,1,24V,D3,,MicroComercial,1N5359B-TP,DIGI,1N5359BTPMSCT-ND,sky-macau.com,0533550982,,,
D4 ,1,SCHDPAK,DPAK2,,VISHAY,VS-50WQ04FNPBF,DIGI,VS-50WQ04FNPBF-ND,,DO NOT POPULATE,,
D5 ,1,LED-grn,LED-0805,,lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,,,,
D6 ,1,DIODESCH,D4,,do no populate,DNP,sky-macau.com,1438219496,,,,
F1 ,1,5A,SIL-2,,0R,jumperwire,0R,jumperwire,,,,
L1 L2 L3 ,3,38uH,SM100uH,,ref_PULSE_ref,ref_PE-54040-S_ref-use-sky-macau-number,sky-macau.com,3817361683,,,,
P1 P3 ,2,CONN_2,AK300-2,,-,-,sky-macau.com,9554316569,,,,
P2 P4 P5 ,3,CONN_1,SIL-1,,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,
Q1 ,1,20V,SOT23,,Vishay,SQ2301ES-T1-GE3,Newark,64T4128,Mouser,78-SQ2301ES-T1_GE3,,,
Q2 ,1,200V,m-pad-2.1-TO-263AB,,IXYS,IXTA6N50D2,digikey,IXTA6N50D2-ND,,,,
R1 ,1,39k,SM0805,,ECG,ERA6AEB393V,DIGI,P39KDACT-ND,,,,
R2 ,1,1k,SM0805,,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,
R3 ,1,100k,SM0805,,ECG,ERA6AEB104V,DIGI,P100KDACT-ND,,,,
U1 ,1,LM2596,DPAK5,,linear,2596-5.0,DIGI,LM2596S-5.0/NOPB-ND,sky-macau.com,6841999795,,,
