ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
BT1,BATTERY_CR2032,BATT_CR2032_MPD,Keystone,103,digi,103K-ND,,,,,,
C1,0.01uF,SM0805,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C2,20pF,SM0805,MURATA,GRM21A5C2E180JW01D,DIGI,490-5533-1-ND,,,,,,
C3,20pF,SM0805,MURATA,GRM21A5C2E180JW01D,DIGI,490-5533-1-ND,,,,,,
C4,2u2F,SM0805,TDK,CGA4J3X5R1H225K125AB,DIGI,445-7880-1-ND,,,,,,
C5,0.01uF,SM0805,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C6,1uF,SM0805,TDK,C2012X7S2A105K125AB,DIGI,445-5205-6-ND,,,,,,
C7,1uF,SM0805,TDK,C2012X7S2A105K125AB,DIGI,445-5205-6-ND,,,,,,
C8,0.01uF,SM0805,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C9,0.1uF,SM0805,AVX,08055C104KAT2A,digi,478-1395-1-ND,,,,,,
C10,0.1uF,SM0805,AVX,08055C104KAT2A,digi,478-1395-1-ND,,,,,,
C11,0.1uF,SM0805,AVX,08055C104KAT2A,digi,478-1395-1-ND,,,,,,
C12,0.1uF,SM0805,AVX,08055C104KAT2A,digi,478-1395-1-ND,,,,,,
C13,0.1uF,SM0805,AVX,08055C104KAT2A,digi,478-1395-1-ND,,,,,,
C14,0.1uF,SM0805,AVX,08055C104KAT2A,digi,478-1395-1-ND,,,,,,
C15,2u2F,SM0805,TDK,CGA4J3X5R1H225K125AB,DIGI,445-7880-1-ND,,,,,,
C16,1uF,SM0805,TDK,C2012X7S2A105K125AB,DIGI,445-5205-6-ND,,,,,,
C17,2u2F,SM0805,TDK,CGA4J3X5R1H225K125AB,DIGI,445-7880-1-ND,,,,,,
C18,0.1uF,SM0805,AVX,08055C104KAT2A,digi,478-1395-1-ND,,,,,,
C19,4.7uF,SM0805,TDK,CGA4J3X5R1H475K125AB,DIGI,445-7882-6-ND,,,,,,
C20,0.1uF,SM0805,AVX,08055C104KAT2A,digi,478-1395-1-ND,,,,,,
C21,12.5pF,SM0805,AVX,08051A120JAT2A,DIGI,478-5011-6-ND,,,,,,
C22,12.5pF,SM0805,AVX,08051A120JAT2A,DIGI,478-5011-6-ND,,,,,,
C23,1uF,SM0805,TDK,C2012X7S2A105K125AB,DIGI,445-5205-6-ND,,,,,,
C24,.1uF,SM0805,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C101,1000pF,SM0805,AVX,08052C102KAT2A ,digi,478-1339-1-ND,,,,,,
C102,1000pF,SM0805,AVX,08052C102KAT2A ,digi,478-1339-1-ND,,,,,,
C103,10uF,SM0805,Taiyo,TMK316BJ106KL-T,digi,587-1337-1-ND,25V,10%,multi layer ceramic,other,more,stuff,,
C104,0.1uF,SM0805,AVX,08055C104KAT2A,digi,478-1395-1-ND,,,,,,
C162,47n,SM1206,AVX,12062C473KAT2A,digi,478-1515-6-ND,,,,,,
C163,47n,SM1206,AVX,12062C473KAT2A,digi,478-1515-6-ND,,,,,,
C165,100n,SM1206,avx,12061C104KAT2A,digi,478-1529-6-ND,,,,,,
C166,20pF,SM0805,MURATA,GRM21A5C2E180JW01D,DIGI,490-5533-1-ND,,,,,,
C167,20pF,SM0805,MURATA,GRM21A5C2E180JW01D,DIGI,490-5533-1-ND,,,,,,
C168,22n,SM1206,ELCO,12061C223KAT2A,digi,478-1525-1-ND,,,,,,
C210,0.01uF,SM0805,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C211,0.1uF,SM0805,AVX,08055C104KAT2A,digi,478-1395-1-ND,,,,,,
C220,0.01uF,SM0805,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C230,0.01uF,SM0805,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C240,0.01uF,SM0805,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C250,0.01uF,SM0805,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C251,0.1uF,SM0805,AVX,08055C104KAT2A,digi,478-1395-1-ND,,,,,,
C260,0.01uF,SM0805,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C270,0.01uF,SM0805,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C280,0.01uF,SM0805,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C290,0.01uF,SM0805,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C291,0.1uF,SM0805,AVX,08055C104KAT2A,digi,478-1395-1-ND,,,,,,
C300,0.01uF,SM0805,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C310,0.01uF,SM0805,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C320,0.01uF,SM0805,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C351,4700pF,SM0805,AVX,08055C472KAT2A,DIGI,478-1379-2-ND,,,,,,
C352,47pF,SM0805,AVX,08051A470JAT2A,DIGI,478-1282-1-ND,,,,,,
C353,47pF,SM0805,AVX,08051A470JAT2A,DIGI,478-1282-1-ND,,,,,,
C354,4.7uF,SM0805,TDK,CGA4J3X5R1H475K125AB,DIGI,445-7882-6-ND,,,,,,
C355,.1uF,SM0805,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C356,.1uF,SM0805,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C357,.1uF,SM0805,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C358,4.7uF,SM0805,TDK,CGA4J3X5R1H475K125AB,DIGI,445-7882-6-ND,,,,,,
C471,.1uF,SM0805,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C472,4.7uF,SM0805,TDK,CGA4J3X5R1H475K125AB,DIGI,445-7882-6-ND,,,,,,
C601,0.1uF,SM0805,AVX,08055C104KAT2A,digi,478-1395-1-ND,,,,,,
C602,0.1uF,SM0805,AVX,08055C104KAT2A,digi,478-1395-1-ND,,,,,,
C603,0.1uF,SM0805,AVX,08055C104KAT2A,digi,478-1395-1-ND,,,,,,
C701,.1uF,SM0805,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C702,.1uF,SM0805,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C1001,470uF 25V,SMDSVP10,Nichicon,UBC1V101MNS1GS,digi,493-4471-1-ND,,,,,,
C1002,220uF 16V,SM2512,kemet,T491D227K016AT,digi,399-10429-1-ND,sky-macau.com,8702041755,,,,,
C1003,220uF 16V,SM2512,kemet,T491D227K016AT,digi,399-10429-1-ND,sky-macau.com,8702041755,,,,,
C1101,10nF,SM0805-SM0603,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C1102,100nF,SM0805-SM0603,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C1201,10nF,SM0805-SM0603,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C1202,100nF,SM0805-SM0603,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C1301,10nF,SM0805-SM0603,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C1302,100nF,SM0805-SM0603,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C1401,10nF,SM0805-SM0603,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C1402,100nF,SM0805-SM0603,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
D1,LED-grn,LED-0805_A,lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,,,,,,
D2,LED-org,LED-0805_A,lite-on,LTST-C170KFKT,DIGI,160-1413-1-ND,,,,,,
D3,LED-red,LED-0805_A,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D4,LED-blu,LED-0805_A,lite-on,LTST-C170TBKT,digi,160-1579-1-ND,,,,,,
D5,DIODESCH,SM0805-diode,avx,SD0805S020S1R0,DIGI,478-7800-1-ND,,,,,,
D6,DIODESCH,SM0805-diode,avx,SD0805S020S1R0,DIGI,478-7800-1-ND,,,,,,
D7,LED-grn,LED-0805_A,lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,,,,,,
D8,LED-grn,LED-0805_A,lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,,,,,,
D9,DIODESCH,SM0805-diode,avx,SD0805S020S1R0,DIGI,478-7800-1-ND,,,,,,
D10,DIODESCH,SM0805-diode,avx,SD0805S020S1R0,DIGI,478-7800-1-ND,,,,,,
