1 IN15
2 OUT15_1
3 OUT15_2
4 OUT11
5 IN11
6 IN5
7 IN1
8 OUT1
9 OUT3
10 IN3
11 GND5
12 GND6
13 IN13
14 OUT13_1
15 OUT13_2
16 OUT5_1
17 OUT5_2
18 OUT9_1
19 OUT9_2
20 IN9
21 NC
22 IN8
23 Ubatt
24 NC
25 OUT17
26 GND1
27 GND2
28 OUT18
29 GND_ABE
30 VDD_ABE
31 RST
32 NC
33 IN10
34 OUT10_2
35 OUT10_1
36 OUT6_2
37 OUT6_1
38 OUT14_2
39 OUT14_1
40 IN14
41 GND8
42 GND7
43 IN4
44 OUT4
45 OUT2
46 IN2
47 VDD
48 IN12
49 OUT12
50 OUT16_2
51 OUT16_1
52 NC
53 SO
54 SCK
55 SI
56 SS
57 OUT8
58 GND3
59 GND4
60 OUT7
61 IN7_SSY
62 IN16_FCL
63 IN6_FDA
64 NC
