# these are not even on the board anyway:
uMAX-uSOP_10_MAX9939,ignore
SOD-123_DIODE,ignore

#SM0805_5k, WAT?

SM0805_20K,ERJ-6ENF2002V,P20.0KCCT-ND,0805 20K resistor,2,
SM0805_1uF,CL21B105KBFNNNE,1276-1029-1-ND,0805 1uF capacitor,2,
SM0805_1000pF,C0805C102K5RACTU,399-1147-1-ND,0805 1000pF capacitor,2,
SM0805_4700pF,C0805C472K5RACTU,399-1155-1-ND,0805 4700pF capacitor,2,

SM0805_10uF,CC0805ZKY5V6BB106,311-1355-1-ND,0805 10uF capacitor,2,


# analog input board
so-14_LMV324IDR,LMV324IDR,497-4943-1-ND,quad op-amp,14,

SM0805_1500,ERJ-8GEYJ152V,P1.5KECT-ND,0805 1.5K resistor,2,voltage divider
SM0805_500K,ERJ-8ENF4993V,P499KFCT-ND,0805 500K resistor,2,pull-down
SM0805_10K,ERJ-8ENF1002V,P10.0KFCT-ND,current limiting 10k,2,
SM0805_2700,ERJ-8GEYJ272V,P2.7KECT-ND,pull-up for CLT,2,

SM0805_0.1uF,C1206C104J3GACTU,399-11179-1-ND,op-amp power supply capacitor 0.1uF,2,
SM0805_0.01uF,GRM3195C1H103JA01D,490-1754-1-ND,input RC filter 10000PF/0.01uF,2,

sot23_DOUBLE_SCHOTTKY,BAS70-04FILM,497-2516-1-ND,input protection diode,3,


# low-side driver
SO8E_ST_OVP_DRIVER,ST,497-11082-1-ND,12A low-side MOSFET,8,
SM0805_1k,ERJ-6GEYJ102V,P1.0KACT-ND,1K resistor,2,
SM0805_20R,ERJ-6ENF20R0V,P20.0CCT-ND,20R driver current limiting,2,

# hi-side board
msoic-8_TC4427AVOA,TC4427AVOA,TC4427AVOA-ND,1.5A dual driver,8,
SM0805_100,RMCF0805JT100RCT-ND,RMCF0805JT100R,100R resistor,2,

# communication module
ssop-28_FT232RL,FT232RL,768-1007-1-ND,USB TTL chip
MINI-USB-5P-3400020P1_MINI-USB-5P-3400020P1,usb socket,670-1190-1-ND,mini USB socket
SM0805_1M,RC0805JR-071ML,311-1.0MARCT-ND,USB something

SM0805_47pF,CL21C470JBANNNC,1276-1156-1-ND,47PF cap,2,
SM0805_4.7uF,CC0805ZRY5V6BB475,311-1371-1-ND,4.7UF,2,

SM0805_.1uF,CC0805ZRY5V9BB104,311-1361-1-ND,0.1UF cap,2,

# can module
SO8E_SN65HVD230,SN65HVD230,296-11654-1-ND,CAN driver,8,
SM0805_120,RC0805JR-07120RL,311-120ARCT-ND,CAN terminator,2,


# vr module
maxim-10-QSOP16_MAX9926/9927,MAX9926,MAX9926UAEE+TCT-ND,VR chip
SM0805_5k,P4.99KCCT-ND,ERJ-6ENF4991V,5k for VR


#not available at digikey
MICRO-SDCARD-CONNECTOR-3300060P1_MICRO-SDCARD-CONNECTOR-3300060P1,ignore,ignore,ignore

# ignore list
LOGO_LOGO,ignore,ignore,ignore
LOGO_f_logo,ignore,ignore,ignore


# ignore list: connectors
# todo: later
1pin_CONN_1,ignore,ignore,ignore
PIN_ARRAY-6X1_CONN_6,ignore,ignore,ignore
PIN_ARRAY_10X2_CONN_10X2,ignore,ignore,ignore
PIN_ARRAY_10X2_M_CONN_10X2,ignore,ignore,ignore
PIN_ARRAY_1_CONN_1,ignore,ignore,ignore
PIN_ARRAY_2X1_CONN_2,ignore,ignore,ignore
PIN_ARRAY_2_A_CONN_2,ignore,ignore,ignore
PIN_ARRAY_2_A_JUMPER,ignore,ignore,ignore
PIN_ARRAY_3X1_CONN_3,ignore,ignore,ignore
PIN_ARRAY_3_A_CONN_3,ignore,ignore,ignore
PIN_ARRAY_4x1_CONN_4,ignore,ignore,ignore
PIN_ARRAY_5x2_CONN_5X2,ignore,ignore,ignore
SIL-16_3.5MM_CONN_16,ignore,ignore,ignore
SIL-2_DIODE,ignore,ignore,ignore
SIL-2_CONN_2,ignore,ignore,ignore
SIL-2_TEST,ignore,ignore,ignore
SIL-2_OPT,ignore,ignore,ignore
SIL-2_0R,ignore,ignore,ignore
SIL-2_JUMPER,ignore,ignore,ignore
pin_array_3x2_CONN_3X2,ignore,ignore,ignore
pin_array_4x2_CONN_4X2,ignore,ignore,ignore
bornier3_CONN_3,ignore,ignore,ignore
SM0805_LED,ignore,ignore,ignore
SM1206_LED,ignore,ignore,ignore
LED-0805_GREEN,ignore,ignore,ignore
LED-0805_LED,ignore,ignore,ignore
LED-0805_RED,ignore,ignore,ignore
LED-1206_LED,ignore,ignore,ignore
OSTVN06A150_CONN_6,ignore,ignore,ignore

