Record{size=9000, name=' build/obj/datalogging.o@ .bss.outputBuffer'}
Record{size=7160, name=' build/obj/histogram.o@bounds'}
Record{size=5000, name=' build/obj/analog_chart.o@ .bss.LOGGING_BUFFER'}
Record{size=4000, name=' build/obj/histogram.o@ .bss.small_bounds_index'}
Record{size=3416, name=' build/obj/tunerstudio_algo.o@ .bss.configWorkingCopy'}
Record{size=2584, name=' build/obj/idle_thread.o@ .bss.idleValve'}
Record{size=2000, name=' build/obj/datalogging.o@ .bss.intermediateLoggingBufferData'}
Record{size=1520, name=' build/obj/wave_analyzer.o@readers'}
Record{size=1440, name=' build/obj/usb_lld.o@USBD1'}
Record{size=1200, name=' build/obj/io_pins.o@outputs'}
Record{size=1152, name=' build/obj/eficonsole_logic.o@ .bss.consoleActions'}
Record{size=1080, name=' build/obj/console_io.o@ .bss.consoleThreadStack'}
Record{size=696, name=' build/obj/wave_analyzer.o@ .bss.waThreadStack'}
Record{size=696, name=' build/obj/tunerstudio.o@ .bss.TS_WORKING_AREA'}
Record{size=696, name=' build/obj/status_loop.o@ .bss.tsThreadStack'}
Record{size=696, name=' build/obj/status_loop.o@ .bss.lcdThreadStack'}
Record{size=696, name=' build/obj/neo6m.o@ .bss.GPS_WORKING_AREA'}
Record{size=696, name=' build/obj/mmc_card.o@ .bss.tp_MMC_Monitor'}
Record{size=696, name=' build/obj/map_multiplier_thread.o@ .bss.maThreadStack'}
Record{size=696, name=' build/obj/malfunction_indicator.o@ .bss.mfiThreadStack'}
Record{size=696, name=' build/obj/io_pins.o@ .bss.errBlinkingStack'}
Record{size=696, name=' build/obj/io_pins.o@ .bss.comBlinkingStack'}
Record{size=696, name=' build/obj/injector_central.o@ .bss.benchThreadStack'}
Record{size=696, name=' build/obj/idle_thread.o@ .bss.ivThreadStack'}
Record{size=696, name=' build/obj/board_test.o@ .bss.btThreadStack'}
Record{size=600, name=' build/obj/usbcfg.o@SDU1'}
Record{size=560, name=' build/obj/mmc_card.o@MMC_FS'}
Record{size=548, name=' build/obj/mmc_card.o@ .bss.FDLogFile'}
Record{size=500, name=' build/obj/status_loop.o@ .bss.LOGGING_BUFFER'}
Record{size=500, name=' build/obj/adc_inputs.o@ .bss.LOGGING_BUFFER'}
Record{size=448, name=' build/obj/pin_repository.o@PIN_USED'}
Record{size=400, name=' build/obj/io_pins.o@ .bss.pinDefaultState'}
Record{size=376, name=' build/obj/chsys.o@ .bss._idle_thread_wa'}
Record{size=268, name=' build/obj/trigger_input.o@ .bss.secondaryCrankInput'}
Record{size=268, name=' build/obj/trigger_input.o@ .bss.primaryCrankInput'}
Record{size=268, name=' build/obj/algo.o@ .bss.waveChart'}
Record{size=260, name=' build/obj/wave_chart.o@logger'}
Record{size=260, name=' build/obj/wave_analyzer.o@logger'}
Record{size=260, name=' build/obj/tunerstudio.o@logger'}
