; Unit System: English
; Time: seconds
; Intake manifold absolute pressure: PSI
; Ignition timing advance for #1 cylinder: 
; Engine RPM: RPM
;
Time,Intake manifold absolute pressure,Time,Ignition timing advance for #1 cylinder,Time,Engine RPM
46539.8277742,6.091585,46540.1384737,12.5,46539.9746238,925
46540.5780618,6.091585,46540.8691149,12,46540.7193218,931.25
46541.3109405,6.091585,46541.5856308,11.5,46541.4563064,934.25
46541.8862161,6.816774,46542.110848,19,46542.0009358,980.5
46542.3007117,10.29768,46542.4915156,13,46542.4014943,1297.75
46542.6973532,9.572491,46542.8901656,24,46542.8002784,1618.5
46543.0790199,9.282415,46543.2748484,22,46543.1748376,1546.75
46543.4796809,10.0076,46543.7044812,13.5,46543.6084763,1428.75
46543.8883383,12.03813,46544.0911161,0.5,46543.9962838,1147.25
46544.3059945,12.76332,46544.5128731,-0.5,46544.4069206,1421.75
46544.680593,13.92362,46544.8685089,3,46544.764588,1705
46545.0553941,13.77859,46545.2291993,5,46545.1352824,1987.75
46545.4190219,12.47325,46545.6141468,14.5,46545.5090283,2273
46545.8019089,11.74806,46545.9957118,21,46545.8888696,2559
46546.1946434,11.16791,46546.3966599,23,46546.2826216,2819.5
46546.6074766,10.29768,46546.8964385,31.5,46546.7594909,3108
46547.3232098,8.702264,46547.6122144,41,46547.4582848,3365.25
46548.0708729,6.236623,46548.3510783,44,46548.2028193,3421.5
46548.7916757,6.526698,46549.0836978,9.5,46548.9366248,3299.75
46549.5153138,3.045793,46549.7982536,22.5,46549.665223,3064
46550.2229984,2.900755,46550.511885,22.5,46550.3619562,2725
46550.9497121,2.755717,46551.2325818,22.5,46551.0957197,2394.75
46551.6743959,2.610679,46551.9683829,22.5,46551.8209832,2055.5
46552.4002024,3.045793,46552.6850788,22.5,46552.5520525,1717
46553.1268878,3.480906,46553.4167073,22.5,46553.2638345,1328
46553.8665272,4.931283,46554.1417152,22.5,46554.0044376,1168.25
46554.5853164,5.946547,46554.8742192,6,46554.7311581,1139.75
46555.3200068,8.702264,46555.6128425,-3.5,46555.4639956,1230.5
46556.0337618,12.90836,46556.3307842,-5,46556.1837111,1436
46556.7856154,13.48851,46557.0746985,4.5,46556.9306,1798.75
46557.5086013,13.19843,46557.7974364,13.5,46557.6545625,2390
46558.2223481,11.02287,46558.5118144,24.5,46558.3674507,2854.75
46558.9452886,10.15264,46559.2432389,27.5,46559.0852718,3198.25
46559.5672114,9.862566,46559.7741851,28.5,46559.6811578,3544
46559.9752552,9.137378,46560.1630734,30,46560.0622737,3761
46560.3389457,8.122113,46560.518002,33,46560.4239766,3967.25
46560.7010078,7.687,46560.8679403,40.5,46560.7799614,4140.5
46561.0609079,6.091585,46561.2309355,42,46561.1479109,4234.5
46561.4408504,5.946547,46561.6277304,42,46561.5448307,4281.25
46561.8137047,5.801509,46562.0067458,42,46561.9015955,4354.75
46562.2066793,6.526698,46562.3876556,41.5,46562.2917307,4473.5
46562.6066266,6.38166,46562.8065395,42,46562.7076076,4577.5
46563.0155573,6.526698,46563.2115011,41.5,46563.1105406,4699
46563.4063664,6.526698,46563.5864242,41.5,46563.4914632,4831.25
46563.7794098,6.526698,46564.0062583,41,46563.8963854,4949.25
46564.2102208,6.236623,46564.4231846,44,46564.3145758,5052.5
46564.7622195,4.786245,46565.056163,47,46564.9111091,5054.75
46565.4920806,5.946547,46565.7779822,42.5,46565.6331954,5104.5
46566.2099665,6.526698,46566.4942523,44,46566.3550262,5195.25
46566.9429288,2.320604,46567.2319173,22.5,46567.0849075,4346.25
46567.6559469,2.175566,46567.9468531,22.5,46567.8009424,2587.5
46568.3838438,3.19083,46568.6659023,22.5,46568.5219212,1297.25
46569.0968832,5.801509,46569.3779983,-0.5,46569.2367963,946.25
46569.8079032,6.526698,46570.0960578,9.5,46569.950839,1078.25
46570.5227304,5.511434,46570.8097901,22.5,46570.6758115,1114.25
46571.2406855,5.511434,46571.5086547,16.5,46571.3866758,1138.25
46571.9467505,13.92362,46572.2336717,-6,46572.0917409,1282.75
46572.6646201,14.35874,46572.9408238,-4,46572.7816893,1428.75
46573.3466643,14.2137,46573.6305968,-4,46573.4855671,1588.25
46574.0496303,14.06866,46574.3196035,0,46574.1766224,1734.75
46574.7555053,13.92362,46575.0455879,4,46574.8915111,1944.75
46575.4695858,14.06866,46575.7684502,4.5,46575.6015466,2173.75
46576.207547,14.2137,46576.4748662,5,46576.3445666,2414.5
46576.9104131,14.2137,46577.2057789,6,46577.0545495,2613
46577.5195442,14.35874,46577.7185551,10,46577.6334656,2733.75
46577.8905654,14.2137,46578.0855995,11,46577.9865448,2938
46578.543574,7.541962,46578.73054,19,46578.6365527,2940.25
46578.9275073,3.045793,46579.1245952,22.5,46579.0325265,2967.75
46579.3175755,2.900755,46579.518546,22.5,46579.4135592,2909.75
46579.7154739,2.755717,46579.9025588,22.5,46579.8005574,2811.75
46580.0895668,2.610679,46580.290539,22.5,46580.1845745,2755.75
46580.4635527,2.610679,46580.6405474,22.5,46580.5495497,2637.25
46580.8145764,2.610679,46581.0105523,22.5,46580.9155489,2603.75
46581.2404737,2.610679,46581.4395735,22.5,46581.335549,2468
46581.6385432,2.610679,46581.8324542,22.5,46581.7325502,2321.75
46582.033447,2.610679,46582.2135886,22.5,46582.1165562,1815.75
46582.4904797,3.625943,46582.7607739,22.5,46582.615528,1089.75
46583.1805465,6.38166,46583.4696234,13,46583.3274424,1128.25
46583.9095389,5.076321,46584.2114733,21.5,46584.0545572,1060.25
46584.6205338,5.511434,46584.92254,17.5,46584.7894646,1055.75
46585.3795282,5.366396,46585.6822478,-2,46585.5244619,1069.5
46586.104512,6.38166,46586.3774118,31.5,46586.2354835,1485
46586.8133886,8.412189,46587.1004313,23,46586.9584551,1426
46587.5534001,8.99234,46587.846389,21.5,46587.7003081,1723
46588.2552613,9.427453,46588.5454917,25,46588.3983246,2040.75
46588.9642474,8.267151,46589.2584842,38,46589.1141978,2321
46589.6912211,6.671736,46589.9842493,42.5,46589.8371523,2527
46590.4230915,3.19083,46590.7140661,22.5,46590.5670862,2016.5
46591.2520299,4.786245,46591.5451137,22.5,46591.4091,989.25
46591.974998,5.801509,46592.2440864,13,46592.1179578,1061.25
46592.6540219,5.511434,46592.9489533,14.5,46592.8069249,1055.75
46593.38389,5.511434,46593.6679433,17.5,46593.5279763,1053
46594.1128104,5.366396,46594.3948733,18.5,46594.2498839,1062.5
46594.8272005,5.221359,46595.0627403,18,46594.9638796,1077.75
46595.338815,5.221359,46595.5387911,18,46595.449747,1065.75
46595.7507768,5.366396,46595.9357862,18,46595.8490102,1060.75
46596.141853,5.366396,46596.3318742,16.5,46596.2238561,1048.75
46596.5358518,5.366396,46596.7168608,21.5,46596.6229478,1031.75
46596.89897,5.511434,46597.0679861,19.5,46596.9919923,1039.25
46597.2510433,5.511434,46597.451064,17,46597.3370417,1038
46597.6260936,5.511434,46597.8510301,17.5,46597.7511036,1044
46598.0331453,5.511434,46598.2261771,17,46598.1411977,1044.25
46598.429229,5.511434,46598.623385,17.5,46598.5272451,1046.5
46598.8203044,5.511434,46599.0003039,16.5,46598.9053181,1038.25
46599.1683652,5.511434,46599.3423588,14.5,46599.249268,1036
