; Unit System: English
; Time: seconds
; Intake manifold absolute pressure: PSI
; Engine RPM: RPM
; Ignition timing advance for #1 cylinder: 
; Absolute throttle position: %
;
Time,Intake manifold absolute pressure,Time,Engine RPM,Time,Ignition timing advance for #1 cylinder,Time,Absolute throttle position
0,6.526698,0.0956969,863.75,0.1991264,7.5,0.6777995,13.33333
0.3999466,6.526698,0.4970285,840.75,0.5910275,7.5,1.1250664,13.33333
0.8550417,6.671736,0.9490415,861.25,1.0326723,5,1.6260095,13.33333
1.3150942,6.671736,1.4301218,857.5,1.5101632,6.5,2.0551279,13.33333
1.7991276,6.526698,1.9051516,850.5,1.9770379,7,2.5081854,13.33333
2.2281502,6.671736,2.3240944,851.25,2.4301834,7,3.0272393,13.33333
2.706198,6.671736,2.8302327,844.75,2.9132681,7,3.5612346,13.33333
3.296234,6.671736,3.391262,853.25,3.4771393,6.5,3.9992685,13.33333
3.7252558,6.526698,3.8269965,836,3.9102381,7.5,4.4722863,13.33333
4.2013369,6.526698,4.299294,851,4.3862833,6.5,4.9183529,13.33333
4.6513549,6.526698,4.7343261,851.75,4.826325,6.5,5.3863817,13.33333
5.1171175,6.526698,5.1973821,841.25,5.2972776,10,5.822318,13.33333
5.5594544,6.671736,5.6413503,838.25,5.7273148,10,6.2914263,13.33333
6.0254232,6.671736,6.1104706,848,6.203514,6.5,6.7594753,13.33333
6.4944801,6.526698,6.5895569,858.5,6.676453,7,7.2223687,13.33333
6.9254448,6.526698,7.0223662,844.25,7.1154783,7.5,7.7025357,13.72549
7.4264115,6.671736,7.5124775,798.75,7.5964288,17.5,8.136538,13.72549
7.8767122,8.267151,7.9695223,641.25,8.0535173,22.5,8.6045939,14.11765
8.3174928,10.29768,8.4005238,809.75,8.5075057,11.5,9.0745685,14.5098
8.7964545,8.267151,8.9045297,961,8.9877155,17.5,9.5266433,15.29412
9.2595729,8.702264,9.3545892,643,9.4325936,9,9.9886872,16.86275
9.7116015,12.47325,9.8016136,691,9.901629,-6.5,10.4515755,17.2549
10.1705711,13.19843,10.2755804,884,10.3575754,0.5,10.9106486,17.64706
10.6235877,12.03813,10.7216664,1129.5,10.8255843,7.5,11.3956384,17.64706
11.1105964,10.0076,11.1986752,1442,11.3006059,23,11.871648,17.64706
11.595629,8.122113,11.6926222,1602.75,11.7866488,31.5,12.3248144,18.03922
12.0546499,7.251887,12.1517586,1706.25,12.2257725,32.5,12.8217066,18.82353
12.519687,7.251887,12.6216818,1812.5,12.7136956,32,13.3096751,13.33333
13.0217793,7.541962,13.1156793,1944.5,13.2307596,34,13.7966769,13.33333
13.5106066,4.641208,13.6036897,1784.75,13.7167084,22.5,14.2707584,15.68627
13.99473,4.351132,14.0937163,1373.75,14.1696352,22.5,14.7207545,16.86275
14.4405893,6.526698,14.5327322,1199,14.625728,22,15.1847916,28.23529
14.9157965,8.557226,14.9957659,1132,15.1007684,-1.5,15.6247109,55.68628
15.3687866,14.2137,15.4436893,1248.5,15.5297382,-2,16.1027846,51.76471
15.8247143,14.35874,15.9177828,1394.75,15.9987924,-2,16.5327878,42.35294
16.2758157,14.35874,16.3656994,1499,16.4447278,0.5,17.0038336,13.33333
16.7208572,13.77859,16.8217148,1683.5,16.9087973,16,17.470857,13.33333
17.189748,4.641208,17.2748647,1656.75,17.3748446,14,17.9088494,13.33333
17.6438252,3.480906,17.7297469,1699.75,17.8237764,22.5,18.3799019,13.33333
18.1148897,3.335868,18.1989448,1553.5,18.2979443,22.5,18.794908,13.33333
18.5589155,3.480906,18.6438158,1385.25,18.7209684,22.5,19.2229303,13.33333
18.971913,4.061057,19.0559168,1287.5,19.1308307,19.5,19.6448586,13.33333
19.4009918,4.49617,19.4999846,1126.75,19.5749489,21,20.0719553,13.33333
19.7969756,5.221359,19.9009426,921,19.9860003,22.5,20.4979649,13.33333
20.2239628,6.961812,20.3079649,779.75,20.4019533,22.5,20.9539951,13.33333
20.7019717,9.427453,20.7850978,736.75,20.8609895,14.5,21.3440172,13.33333
21.1140214,10.73279,21.1890611,842.25,21.2760563,13.5,21.7970602,13.33333
21.5240291,10.58776,21.6010543,864.25,21.71471,11,22.2271143,13.33333
21.9750798,9.572491,22.0469809,984.25,22.1321027,19,22.7000923,13.33333
22.4271006,8.412189,22.5111754,1035,22.5970714,10.5,23.1370899,13.33333
