"MShift v0.01: Bowling & Grippo MS1 Base Code MShift v0.01"
"Capture Date: Sun Jan 10 12:16:41 EST 2016"
Time	RPM	CLT	IAT	TPS	MAF	MAP	AFR	vBatt	Load	ignAdv	Knock	speed	dRPM	airMass	pedal	trg err	injPulse	fuel: base	fuel: VE	fuel: EL accel	fuel: tpsAccel	fuel: IAT corr	fuel: wall corr ms	fuel: wall amout	baroCorrection
	RPM	°C	°C	%	V	MAP	AFR	V	%	deg	Volts	kph	dRpm	Kg/h	%	counter	ms	ms	ratio	%	ms	%	ms	ms	%
309.410	1007	99.8	16.5	0	0.00	30	10.09	13.41	30	22.35	2.04	0.00	1.006	0.000	0.000	540	4.024	3.03	72.580	0.000	0.000	1.000	0.000	0.000	1.000
309.547	1017	100.0	16.5	0	0.00	29	10.04	13.42	29	22.35	2.05	0.00	0.990	0.000	0.000	540	4.008	3.01	72.659	0.000	0.000	1.000	0.000	0.000	1.000
309.681	1025	99.6	16.5	0	0.00	29	10.00	13.61	29	22.35	2.05	0.00	1.000	0.000	0.000	540	4.009	3.01	72.662	0.000	0.000	1.000	0.000	0.000	1.000
309.809	1025	99.6	16.5	0	0.00	29	10.11	13.49	29	22.35	2.08	0.00	1.000	0.000	0.000	540	4.004	3.00	72.678	0.000	0.000	1.000	0.000	0.000	1.000
309.943	1036	99.4	16.5	0	0.00	29	10.11	13.72	29	22.35	2.07	0.00	0.993	0.000	0.000	540	3.995	3.00	72.675	0.000	0.000	1.000	0.000	0.000	1.000
310.066	1035	99.6	16.5	0	0.00	29	10.14	13.79	29	22.35	2.08	0.00	1.001	0.000	0.000	540	3.985	2.98	72.760	0.000	0.000	1.000	0.000	0.000	1.000
310.194	1036	99.6	16.5	0	0.00	29	10.09	13.37	29	22.35	2.08	0.00	0.999	0.000	0.000	540	3.983	2.98	72.757	0.000	0.000	1.000	0.000	0.000	1.000
310.322	1036	99.6	16.5	0	0.00	29	10.13	13.54	29	22.35	2.07	0.00	1.000	0.000	0.000	540	3.979	2.98	72.780	0.000	0.000	1.000	0.000	0.000	1.000
310.451	1037	100.1	16.5	0	0.00	29	10.05	13.69	29	22.35	2.08	0.00	0.999	0.000	0.000	541	3.972	2.98	72.763	0.000	0.000	1.000	0.000	0.000	1.000
310.585	1031	99.6	16.4	0	0.00	29	10.12	13.82	29	22.35	2.07	0.00	1.006	0.000	0.000	542	3.972	2.98	72.868	0.000	0.000	1.000	0.000	0.000	1.000
310.705	1034	98.9	16.5	0	0.00	29	10.09	13.24	29	22.36	2.08	0.00	0.997	0.000	0.000	542	3.982	2.99	72.750	0.000	0.000	1.000	0.000	0.000	1.000
310.841	1026	98.7	16.5	0	0.00	29	10.10	13.49	29	22.35	2.08	0.00	1.008	0.000	0.000	542	3.994	3.00	72.768	0.000	0.000	1.000	0.000	0.000	1.000
310.962	1032	99.8	16.5	0	0.00	29	10.10	13.56	29	22.35	2.08	0.00	1.009	0.000	0.000	542	3.998	3.00	72.771	0.000	0.000	1.000	0.000	0.000	1.000
311.089	1034	99.8	16.4	0	0.00	29	10.11	13.36	29	22.35	2.08	0.00	0.989	0.000	0.000	542	3.992	2.98	72.749	0.000	0.000	1.000	0.000	0.000	1.000
311.218	1016	99.8	16.5	0	0.00	29	10.14	13.63	29	22.36	2.07	0.00	1.018	0.000	0.000	542	3.994	2.99	72.774	0.000	0.000	1.000	0.000	0.000	1.000
311.351	1021	99.8	16.5	0	0.00	29	10.01	13.27	29	22.35	2.05	0.00	0.995	0.000	0.000	542	3.994	2.99	72.801	0.000	0.000	1.000	0.000	0.000	1.000
311.481	995	99.6	16.5	0	0.00	29	10.09	13.54	29	22.35	2.07	0.00	1.026	0.000	0.000	542	4.024	3.01	72.762	0.000	0.000	1.000	0.000	0.000	1.000
311.601	1012	100.1	16.5	0	0.00	29	10.07	13.48	29	22.35	2.07	0.00	0.983	0.000	0.000	542	4.010	3.01	72.741	0.000	0.000	1.000	0.000	0.000	1.000
311.730	1017	99.6	16.5	0	0.00	29	10.12	13.58	29	22.35	2.08	0.00	0.995	0.000	0.000	542	3.999	3.00	72.709	0.000	0.000	1.000	0.000	0.000	1.000
311.863	1021	99.6	16.5	0	0.00	29	10.10	13.52	29	22.35	2.07	0.00	0.996	0.000	0.000	542	4.000	3.01	72.660	0.000	0.000	1.000	0.000	0.000	1.000
311.993	1016	100.3	16.5	0	0.00	29	10.12	13.63	29	22.35	2.06	0.00	1.005	0.000	0.000	542	4.003	3.01	72.712	0.000	0.000	1.000	0.000	0.000	1.000
312.114	1001	99.6	16.5	0	0.00	29	10.00	13.24	29	22.35	2.07	0.00	1.015	0.000	0.000	542	4.009	3.01	72.748	0.000	0.000	1.000	0.000	0.000	1.000
312.243	1013	99.8	16.5	0	0.00	30	10.15	13.67	30	22.35	2.07	0.00	0.988	0.000	0.000	542	4.020	3.02	72.602	0.000	0.000	1.000	0.000	0.000	1.000
312.376	990	99.1	16.5	0	0.00	30	10.00	13.29	30	22.35	2.07	0.00	0.989	0.000	0.000	543	4.020	3.02	72.698	0.000	0.000	1.000	0.000	0.000	1.000
312.507	1001	98.9	16.5	0	0.00	30	10.15	13.71	30	22.35	2.07	0.00	0.989	0.000	0.000	543	4.024	3.02	72.693	0.000	0.000	1.000	0.000	0.000	1.000
312.630	1033	100.3	16.5	0	0.00	29	10.11	13.62	29	22.35	2.07	0.00	0.992	0.000	0.000	543	4.023	3.01	72.552	0.000	0.000	1.000	0.000	0.000	1.000
312.762	1046	100.1	16.5	0	0.00	29	10.10	13.56	29	22.35	2.07	0.00	0.988	0.000	0.000	544	3.992	2.98	72.686	0.000	0.000	1.000	0.000	0.000	1.000
312.884	1051	99.6	16.5	0	0.00	29	10.12	13.62	29	22.37	2.07	0.00	0.995	0.000	0.000	544	3.968	2.97	72.800	0.000	0.000	1.000	0.000	0.000	1.000
313.017	1041	99.6	16.6	0	0.00	29	10.11	13.36	29	22.35	2.07	0.00	1.010	0.000	0.000	545	3.963	2.96	72.940	0.000	0.000	1.000	0.000	0.000	1.000
313.138	1050	99.8	16.5	0	0.00	29	10.13	13.66	29	22.35	2.07	0.00	0.991	0.000	0.000	546	3.969	2.97	72.798	0.000	0.000	1.000	0.000	0.000	1.000
313.267	1032	101.2	16.5	0	0.00	29	10.08	13.49	29	22.36	2.06	0.00	1.017	0.000	0.000	546	3.966	2.97	72.837	0.000	0.000	1.000	0.000	0.000	1.000
313.400	1024	99.1	16.4	0	0.00	29	10.13	13.48	29	22.35	2.07	0.00	1.008	0.000	0.000	546	3.986	2.99	72.685	0.000	0.000	1.000	0.000	0.000	1.000
313.520	1014	100.0	16.4	0	0.00	29	10.01	13.32	29	22.36	2.08	0.00	1.010	0.000	0.000	547	4.000	3.00	72.773	0.000	0.000	1.000	0.000	0.000	1.000
313.648	1015	99.6	16.5	0	0.00	30	10.12	13.58	30	22.35	2.06	0.00	0.999	0.000	0.000	548	4.007	3.02	72.632	0.000	0.000	1.000	0.000	0.000	1.000
313.776	1018	100.0	16.5	0	0.00	30	10.07	13.63	30	22.35	2.06	0.00	1.011	0.000	0.000	548	4.025	3.03	72.617	0.000	0.000	1.000	0.000	0.000	1.000
313.904	1007	99.8	16.4	0	0.00	30	10.09	13.54	30	22.35	2.07	0.00	1.011	0.000	0.000	548	4.030	3.03	72.552	0.000	0.000	1.000	0.000	0.000	1.000
314.037	1021	99.8	16.5	0	0.00	30	10.09	13.31	30	22.35	2.07	0.00	0.986	0.000	0.000	548	4.027	3.02	72.578	0.000	0.000	1.000	0.000	0.000	1.000
314.165	1021	99.8	16.5	0	0.00	29	10.12	13.55	29	22.35	2.07	0.00	1.000	0.000	0.000	548	4.008	3.01	72.541	0.000	0.000	1.000	0.000	0.000	1.000
314.292	1012	100.0	16.5	0	0.00	30	10.00	13.58	30	22.35	2.07	0.00	1.009	0.000	0.000	548	4.027	3.03	72.528	0.000	0.000	1.000	0.000	0.000	1.000
314.417	1014	100.0	16.5	0	0.00	30	10.05	13.49	30	22.35	2.07	0.00	0.998	0.000	0.000	548	4.025	3.02	72.602	0.000	0.000	1.000	0.000	0.000	1.000
314.549	1021	100.0	16.5	0	0.00	30	10.05	13.63	30	22.35	2.07	0.00	0.993	0.000	0.000	549	4.010	3.01	72.605	0.000	0.000	1.000	0.000	0.000	1.000
314.680	1030	100.0	16.5	0	0.00	30	10.09	13.32	30	22.35	2.08	0.00	0.991	0.000	0.000	549	4.008	3.02	72.559	0.000	0.000	1.000	0.000	0.000	1.000
