ref,value,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
C1,4700pF,,,,,,,,
C2,47pF,,,,,,,,
C3,47pF,,,,,,,,
C4,4.7uF,,,,,,,,
C5,.1uF,,,,,,,,
C6,.1uF,,,,,,,,
C7,.1uF,,,,,,,,
C8,4.7uF,,,,,,,,
D1,GREEN,,,,,,,,
D2,RED,,,,,,,,
D3,RED,,,,,,,,
G1,LOGO,,,,,,,,
J1,MINI-USB-5P-3400020P1,digi,670-1190-1-ND,seeed,3400020P1,,,,,,
K1,CONN_3,,,,,,,,
P1,CONN_5X2,,,,,,,,
P2,MICRO-SDCARD-CONNECTOR-3300060P1,seeed,3300060P1,,,,,,,
P3,CONN_10X2,TE,1-215307-0,digi,A106616-ND,,,,,,
P4,CONN_10X2,,,,,,,,
P5,CONN_1,,,,,,,,
P6,CONN_1,,,,,,,,
R1,1M,,,,,,,,
R2,1k,,,,,,,,
R3,1k,,,,,,,,
R4,1k,,,,,,,,
U1,FT232RL,digi,768-1007-2-ND,seeed,1720010P1,,,,,,
